Temperature,Soil,Nitrogen,Phosphorus,Potassium,Crop,Fertilizer,Crop_Specific_Recommendations,Recommendation_ID
15,Black,100,55,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,100,55,50,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,100,55,55,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,100,60,40,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,100,60,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,100,65,60,cotton,DAP,Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.,10
15,Black,100,65,65,cotton,Magnesium Sulphate,Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.,10
15,Black,100,65,70,cotton,DAP,Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.,10
15,Black,100,65,75,cotton,12:32:16 NPK,"Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",11
15,Black,100,65,80,cotton,Magnesium Sulphate,"Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",11
15,Black,105,40,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,105,40,50,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,105,40,60,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,105,45,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,105,45,60,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,105,55,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,105,55,50,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,105,55,55,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,105,60,40,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,105,60,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,105,65,60,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,105,65,65,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,105,65,70,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,105,65,75,cotton,12:32:16 NPK,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",13
15,Black,105,65,80,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",13
15,Black,110,40,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,110,40,50,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,110,40,60,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,110,45,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,110,45,60,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,110,55,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,110,55,50,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,110,55,55,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,110,60,40,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,110,60,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,110,65,60,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,110,65,65,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,110,65,70,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,110,65,75,cotton,12:32:16 NPK,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",13
15,Black,110,65,80,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",13
15,Black,115,40,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,115,40,50,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,115,40,60,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,115,45,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,115,45,60,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,115,55,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,115,55,50,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,115,55,55,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,115,60,40,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,115,60,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,115,65,60,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,115,65,65,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,115,65,70,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,115,65,75,cotton,12:32:16 NPK,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",13
15,Black,115,65,80,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",13
15,Black,120,40,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,120,40,50,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,120,40,60,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,120,45,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,120,45,60,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,120,55,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,120,55,50,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,120,55,55,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,120,60,40,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,120,60,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,120,65,60,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,120,65,65,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,120,65,70,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.",12
15,Black,120,65,75,cotton,12:32:16 NPK,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",13
15,Black,120,65,80,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Phosphorus is high for cotton. Avoid phosphorus-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",13
15,Dark Brown,60,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,60,45,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,60,50,45,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,60,55,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,60,55,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,60,60,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,60,60,60,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,65,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,65,45,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,65,50,45,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,65,55,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,65,55,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,65,60,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,65,60,60,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,70,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,70,45,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,70,50,45,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,70,55,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,70,55,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,70,60,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,70,60,60,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,75,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,75,45,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,75,50,45,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,75,55,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,75,55,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,75,60,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,75,60,60,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,80,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,80,45,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,80,50,45,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,80,55,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,80,55,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,80,60,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,80,60,60,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,85,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,85,45,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,85,50,45,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,85,55,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,85,55,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,85,60,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,85,60,60,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,90,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,90,45,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,90,50,45,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,90,55,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,90,55,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,90,60,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,90,60,60,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Dark Brown,95,40,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,95,45,60,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,95,50,45,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,95,55,40,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,95,55,60,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,95,60,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,95,60,60,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,40,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,40,40,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,40,55,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,45,40,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,45,50,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,45,60,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,50,45,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,50,60,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,55,40,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,55,45,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,55,55,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,55,60,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,60,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,60,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,60,55,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,60,60,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Dark Brown,100,65,40,wheat,19:19:19 NPK,"Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.
Phosphorus is high for wheat. Avoid phosphorus-based fertilizers.",14
15,Dark Brown,100,65,50,wheat,Urea,"Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.
Phosphorus is high for wheat. Avoid phosphorus-based fertilizers.",14
15,Dark Brown,100,70,60,wheat,19:19:19 NPK,"Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.
Phosphorus is high for wheat. Avoid phosphorus-based fertilizers.",14
15,Dark Brown,100,75,45,wheat,Urea,"Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.
Phosphorus is high for wheat. Avoid phosphorus-based fertilizers.",14
