Temperature,Soil,Nitrogen,Phosphorus,Potassium,Crop,Fertilizer
31,Black,148,8,194,cotton,DAP
24,Loamy,133,15,152,cotton,DAP
23,Clay,154,55,15,cotton,MOP
31,Black,155,33,199,cotton,NPK 14-14-14
30,Loamy,173,31,70,cotton,NPK 14-14-14
33,Loamy,81,21,50,cotton,DAP
25,Loamy,151,24,44,cotton,DAP
34,Clay,48,45,34,cotton,Urea
28,Sandy,85,51,121,cotton,NPK 14-14-14
24,Loamy,137,22,127,cotton,DAP
31,Black,111,7,76,cotton,DAP
23,Clay,108,79,71,cotton,NPK 14-14-14
28,Clay,19,90,147,cotton,Urea
26,Clay,124,45,52,cotton,NPK 14-14-14
24,Loamy,60,97,170,cotton,Urea
26,Sandy,139,21,172,cotton,DAP
27,Black,141,78,48,cotton,MOP
28,Clay,196,54,16,cotton,MOP
33,Sandy,179,5,193,cotton,DAP
27,Clay,183,81,51,cotton,NPK 14-14-14
25,Loamy,190,50,107,cotton,NPK 14-14-14
22,Clay,102,13,91,cotton,DAP
29,Black,100,48,53,cotton,NPK 14-14-14
32,Sandy,108,35,134,cotton,NPK 14-14-14
22,Clay,108,9,47,cotton,DAP
24,Black,83,7,11,cotton,DAP
34,Clay,180,25,78,cotton,DAP
32,Sandy,62,56,26,cotton,Urea
25,Sandy,82,68,67,cotton,NPK 14-14-14
29,Clay,115,56,33,cotton,MOP
22,Black,98,60,81,cotton,NPK 14-14-14
25,Clay,99,48,185,cotton,NPK 14-14-14
20,Loamy,163,39,38,cotton,MOP
31,Sandy,75,73,184,cotton,Urea
35,Sandy,54,43,77,cotton,Urea
33,Sandy,45,27,83,cotton,Urea
26,Black,114,86,36,cotton,MOP
30,Sandy,71,35,83,cotton,Urea
24,Clay,166,92,49,cotton,MOP
34,Black,109,21,166,cotton,DAP
33,Sandy,164,71,175,cotton,NPK 14-14-14
34,Black,85,76,72,cotton,NPK 14-14-14
25,Sandy,122,28,164,cotton,DAP
23,Black,106,54,110,cotton,NPK 14-14-14
32,Clay,147,23,179,cotton,DAP
21,Black,153,9,48,cotton,DAP
24,Sandy,152,69,14,cotton,MOP
29,Sandy,95,82,143,cotton,NPK 14-14-14
24,Loamy,146,21,186,cotton,DAP
35,Loamy,145,22,135,cotton,DAP
20,Loamy,115,89,27,cotton,MOP
29,Clay,151,82,127,cotton,NPK 14-14-14
32,Loamy,186,72,48,cotton,MOP
26,Black,131,62,103,cotton,NPK 14-14-14
29,Sandy,112,85,107,cotton,NPK 14-14-14
24,Sandy,187,21,157,cotton,DAP
29,Sandy,21,13,76,cotton,Urea
26,Clay,92,29,76,cotton,DAP
21,Sandy,107,68,97,cotton,NPK 14-14-14
35,Black,143,9,66,cotton,DAP
31,Sandy,101,94,8,cotton,MOP
24,Loamy,179,61,115,cotton,NPK 14-14-14
30,Clay,148,42,172,cotton,NPK 14-14-14
27,Sandy,143,46,56,cotton,NPK 14-14-14
22,Black,105,7,80,cotton,DAP
26,Sandy,171,55,186,cotton,NPK 14-14-14
31,Black,115,36,46,cotton,MOP
31,Sandy,58,60,153,cotton,Urea
34,Loamy,134,57,14,cotton,MOP
28,Clay,121,29,15,cotton,DAP
20,Loamy,6,14,47,cotton,Urea
21,Clay,109,9,176,cotton,DAP
24,Black,182,83,103,cotton,NPK 14-14-14
25,Loamy,48,60,156,cotton,Urea
34,Clay,155,72,18,cotton,MOP
20,Loamy,63,31,2,cotton,Urea
20,Loamy,169,90,125,cotton,NPK 14-14-14
25,Clay,66,99,80,cotton,Urea
23,Black,46,8,189,cotton,Urea
32,Clay,190,18,17,cotton,DAP
23,Loamy,113,49,117,cotton,NPK 14-14-14
26,Clay,146,3,51,cotton,DAP
34,Black,106,66,191,cotton,NPK 14-14-14
32,Black,9,0,19,cotton,Urea
31,Sandy,41,65,77,cotton,Urea
35,Loamy,176,86,83,cotton,NPK 14-14-14
24,Clay,76,83,24,cotton,Urea
32,Black,158,42,62,cotton,NPK 14-14-14
33,Black,112,49,171,cotton,NPK 14-14-14
23,Clay,164,28,36,cotton,DAP
33,Loamy,92,59,60,cotton,NPK 14-14-14
22,Black,148,95,39,cotton,MOP
32,Black,170,4,30,cotton,DAP
23,Clay,33,57,157,cotton,Urea
20,Clay,190,60,189,cotton,NPK 14-14-14
33,Clay,12,14,149,cotton,Urea
24,Black,83,84,189,cotton,NPK 14-14-14
22,Sandy,41,66,197,cotton,Urea
24,Loamy,55,84,25,cotton,Urea
21,Loamy,113,30,19,cotton,MOP
31,Black,86,50,148,cotton,NPK 14-14-14
34,Black,198,77,42,cotton,MOP
34,Sandy,167,28,162,cotton,DAP
24,Clay,86,95,180,cotton,NPK 14-14-14
27,Black,98,25,177,cotton,DAP
24,Loamy,107,18,87,cotton,DAP
25,Loamy,90,88,161,cotton,NPK 14-14-14
21,Loamy,160,14,24,cotton,DAP
34,Sandy,126,84,168,cotton,NPK 14-14-14
25,Clay,75,1,58,cotton,Urea
20,Sandy,59,45,108,cotton,Urea
30,Loamy,52,33,143,cotton,Urea
25,Sandy,109,71,163,cotton,NPK 14-14-14
27,Black,150,26,54,cotton,DAP
25,Sandy,15,64,175,cotton,Urea
32,Loamy,169,29,15,cotton,DAP
35,Sandy,176,70,127,cotton,NPK 14-14-14
22,Clay,74,89,115,cotton,Urea
34,Sandy,121,96,57,cotton,NPK 14-14-14
30,Sandy,182,86,82,cotton,NPK 14-14-14
25,Sandy,5,31,83,cotton,Urea
25,Black,115,11,20,cotton,DAP
35,Loamy,179,40,35,cotton,MOP
30,Clay,158,18,125,cotton,DAP
21,Sandy,164,86,3,cotton,MOP
22,Black,81,7,34,cotton,DAP
35,Clay,108,25,63,cotton,DAP
21,Black,132,40,192,cotton,NPK 14-14-14
32,Loamy,196,23,134,cotton,DAP
29,Black,34,42,180,cotton,Urea
35,Loamy,32,6,100,cotton,Urea
26,Black,15,62,50,cotton,Urea
28,Sandy,169,30,156,cotton,NPK 14-14-14
23,Clay,103,61,116,cotton,NPK 14-14-14
24,Loamy,22,5,83,cotton,Urea
31,Loamy,176,27,101,cotton,DAP
35,Sandy,151,31,60,cotton,NPK 14-14-14
34,Black,123,61,199,cotton,NPK 14-14-14
20,Loamy,102,24,33,cotton,DAP
35,Sandy,83,58,115,cotton,NPK 14-14-14
35,Clay,99,57,46,cotton,MOP
27,Sandy,118,14,142,cotton,DAP
28,Loamy,174,83,44,cotton,MOP
32,Clay,86,21,199,cotton,DAP
28,Clay,152,47,9,cotton,MOP
28,Black,176,4,61,cotton,DAP
32,Loamy,187,28,197,cotton,DAP
25,Loamy,104,9,131,cotton,DAP
31,Sandy,135,67,48,cotton,MOP
30,Clay,162,90,196,cotton,NPK 14-14-14
27,Black,110,60,70,cotton,NPK 14-14-14
26,Black,148,76,92,cotton,NPK 14-14-14
30,Clay,157,48,158,cotton,NPK 14-14-14
35,Loamy,91,67,156,cotton,NPK 14-14-14
23,Sandy,91,10,159,cotton,DAP
21,Clay,132,9,16,cotton,DAP
23,Black,22,14,87,cotton,Urea
23,Loamy,99,19,47,cotton,DAP
32,Sandy,153,47,125,cotton,NPK 14-14-14
31,Clay,153,6,9,cotton,DAP
28,Black,190,85,168,cotton,NPK 14-14-14
26,Clay,143,81,77,cotton,NPK 14-14-14
34,Clay,114,65,40,cotton,MOP
31,Loamy,166,90,136,cotton,NPK 14-14-14
27,Black,133,78,179,cotton,NPK 14-14-14
33,Clay,130,82,177,cotton,NPK 14-14-14
29,Sandy,107,23,99,cotton,DAP
30,Sandy,85,50,99,cotton,NPK 14-14-14
26,Clay,115,86,72,cotton,NPK 14-14-14
35,Clay,175,61,2,cotton,MOP
27,Loamy,130,70,138,cotton,NPK 14-14-14
34,Loamy,101,52,190,cotton,NPK 14-14-14
33,Black,128,0,113,cotton,DAP
34,Loamy,68,11,165,cotton,Urea
35,Clay,169,96,21,cotton,MOP
32,Loamy,105,93,91,cotton,NPK 14-14-14
33,Clay,137,45,130,cotton,NPK 14-14-14
35,Sandy,180,88,122,cotton,NPK 14-14-14
23,Black,128,73,192,cotton,NPK 14-14-14
25,Loamy,1,1,34,cotton,Urea
28,Black,131,9,4,cotton,DAP
27,Black,185,63,1,cotton,MOP
22,Black,112,10,160,cotton,DAP
23,Black,185,77,98,cotton,NPK 14-14-14
29,Clay,16,19,135,cotton,Urea
22,Sandy,4,13,3,cotton,Urea
34,Clay,113,33,148,cotton,NPK 14-14-14
32,Sandy,180,15,109,cotton,DAP
27,Loamy,118,25,29,cotton,DAP
31,Loamy,110,58,99,cotton,NPK 14-14-14
31,Loamy,133,61,146,cotton,NPK 14-14-14
20,Sandy,21,80,129,cotton,Urea
34,Black,170,13,5,cotton,DAP
27,Loamy,131,69,150,cotton,NPK 14-14-14
21,Clay,9,73,173,cotton,Urea
23,Loamy,160,46,71,cotton,NPK 14-14-14
27,Black,134,3,150,cotton,DAP
28,Loamy,1,16,182,cotton,Urea
29,Sandy,118,35,14,cotton,MOP
21,Clay,185,86,29,cotton,MOP
22,Sandy,132,77,127,cotton,NPK 14-14-14
23,Clay,184,52,24,cotton,MOP
26,Sandy,68,77,64,cotton,Urea
33,Black,37,66,172,cotton,Urea
35,Clay,196,96,51,cotton,NPK 14-14-14
25,Sandy,198,74,107,cotton,NPK 14-14-14
34,Sandy,187,60,145,cotton,NPK 14-14-14
27,Loamy,168,17,16,cotton,DAP
35,Black,99,49,101,cotton,NPK 14-14-14
22,Black,158,14,120,cotton,DAP
29,Clay,52,96,46,cotton,Urea
26,Loamy,192,27,21,cotton,DAP
33,Clay,1,39,8,cotton,Urea
20,Loamy,121,30,32,cotton,MOP
26,Clay,121,0,88,cotton,DAP
29,Sandy,90,34,66,cotton,NPK 14-14-14
23,Clay,119,12,147,cotton,DAP
28,Black,136,7,55,cotton,DAP
26,Clay,159,80,91,cotton,NPK 14-14-14
25,Loamy,68,78,149,cotton,Urea
34,Clay,189,21,74,cotton,DAP
34,Loamy,90,84,190,cotton,NPK 14-14-14
24,Loamy,149,43,185,cotton,NPK 14-14-14
25,Black,189,43,177,cotton,NPK 14-14-14
35,Clay,153,90,190,cotton,NPK 14-14-14
20,Sandy,191,99,26,cotton,MOP
28,Loamy,61,51,137,cotton,Urea
32,Black,105,71,163,cotton,NPK 14-14-14
32,Black,97,66,174,cotton,NPK 14-14-14
27,Black,165,99,128,cotton,NPK 14-14-14
24,Black,106,8,103,cotton,DAP
33,Loamy,100,45,49,cotton,MOP
31,Sandy,171,6,2,cotton,DAP
28,Clay,85,32,26,cotton,MOP
28,Black,126,55,18,cotton,MOP
29,Sandy,123,74,147,cotton,NPK 14-14-14
25,Clay,141,69,143,cotton,NPK 14-14-14
23,Loamy,158,34,90,cotton,NPK 14-14-14
26,Black,29,93,12,cotton,Urea
28,Loamy,37,65,178,cotton,Urea
33,Sandy,183,60,179,cotton,NPK 14-14-14
26,Loamy,183,80,191,cotton,NPK 14-14-14
35,Clay,175,65,148,cotton,NPK 14-14-14
26,Sandy,155,69,149,cotton,NPK 14-14-14
30,Sandy,181,64,176,cotton,NPK 14-14-14
20,Sandy,84,30,80,cotton,NPK 14-14-14
24,Black,151,22,0,cotton,DAP
25,Clay,82,1,25,cotton,DAP
22,Loamy,87,28,142,cotton,DAP
30,Clay,106,56,99,cotton,NPK 14-14-14
34,Loamy,177,25,199,cotton,DAP
21,Black,118,6,139,cotton,DAP
33,Loamy,115,3,80,cotton,DAP
30,Loamy,90,29,123,cotton,DAP
33,Black,105,41,12,cotton,MOP
31,Sandy,160,54,23,cotton,MOP
28,Sandy,76,10,15,cotton,Urea
31,Sandy,83,37,14,cotton,MOP
35,Black,176,91,61,cotton,NPK 14-14-14
26,Loamy,14,52,66,cotton,Urea
22,Sandy,69,59,51,cotton,Urea
26,Sandy,137,5,54,cotton,DAP
22,Clay,96,55,14,cotton,MOP
30,Sandy,154,51,92,cotton,NPK 14-14-14
26,Loamy,99,29,49,cotton,DAP
26,Clay,82,65,17,cotton,MOP
34,Loamy,155,5,161,cotton,DAP
28,Black,135,37,123,cotton,NPK 14-14-14
20,Sandy,89,6,114,cotton,DAP
26,Loamy,74,47,125,cotton,Urea
26,Sandy,176,48,14,cotton,MOP
29,Black,38,51,186,cotton,Urea
21,Black,106,91,122,cotton,NPK 14-14-14
32,Clay,117,39,38,cotton,MOP
21,Loamy,39,64,152,cotton,Urea
28,Sandy,31,50,195,cotton,Urea
35,Clay,119,16,142,cotton,DAP
25,Black,162,68,124,cotton,NPK 14-14-14
30,Black,92,68,195,cotton,NPK 14-14-14
32,Clay,97,69,174,cotton,NPK 14-14-14
21,Clay,137,73,156,cotton,NPK 14-14-14
27,Clay,102,53,33,cotton,MOP
25,Black,145,81,53,cotton,NPK 14-14-14
27,Sandy,195,19,170,cotton,DAP
31,Black,86,42,8,cotton,MOP
28,Sandy,174,52,135,cotton,NPK 14-14-14
31,Black,90,31,23,cotton,MOP
29,Clay,43,78,161,cotton,Urea
23,Sandy,178,85,122,cotton,NPK 14-14-14
25,Black,182,51,151,cotton,NPK 14-14-14
23,Sandy,195,62,174,cotton,NPK 14-14-14
27,Clay,147,19,8,cotton,DAP
30,Loamy,123,11,45,cotton,DAP
21,Clay,53,48,173,cotton,Urea
25,Clay,188,3,28,cotton,DAP
21,Sandy,83,95,31,cotton,MOP
23,Clay,131,97,165,cotton,NPK 14-14-14
31,Sandy,175,96,55,cotton,NPK 14-14-14
20,Loamy,148,89,130,cotton,NPK 14-14-14
28,Clay,157,24,14,cotton,DAP
29,Black,86,36,87,cotton,NPK 14-14-14
31,Sandy,95,99,164,cotton,NPK 14-14-14
26,Loamy,112,82,180,cotton,NPK 14-14-14
23,Loamy,152,99,66,cotton,NPK 14-14-14
20,Sandy,87,25,179,cotton,DAP
33,Clay,100,39,17,cotton,MOP
26,Loamy,140,50,187,cotton,NPK 14-14-14
28,Sandy,88,93,65,cotton,NPK 14-14-14
35,Sandy,146,24,190,cotton,DAP
31,Black,70,82,107,cotton,Urea
35,Sandy,131,13,115,cotton,DAP
29,Sandy,90,72,9,cotton,MOP
21,Sandy,90,76,125,cotton,NPK 14-14-14
32,Sandy,150,83,68,cotton,NPK 14-14-14
27,Clay,155,85,82,cotton,NPK 14-14-14
31,Loamy,27,98,80,cotton,Urea
28,Sandy,185,42,93,cotton,NPK 14-14-14
32,Loamy,102,96,143,cotton,NPK 14-14-14
29,Black,126,17,21,cotton,DAP
22,Loamy,101,69,48,cotton,MOP
34,Black,87,95,92,cotton,NPK 14-14-14
23,Loamy,92,59,128,cotton,NPK 14-14-14
20,Loamy,106,85,172,cotton,NPK 14-14-14
24,Sandy,155,24,14,cotton,DAP
22,Black,61,82,150,cotton,Urea
25,Clay,96,19,174,cotton,DAP
34,Clay,166,33,150,cotton,NPK 14-14-14
31,Clay,87,15,1,cotton,DAP
34,Black,140,76,100,cotton,NPK 14-14-14
33,Loamy,162,4,52,cotton,DAP
34,Sandy,121,85,97,cotton,NPK 14-14-14
28,Loamy,155,9,87,cotton,DAP
22,Black,65,69,74,cotton,Urea
32,Loamy,96,24,139,cotton,DAP
29,Black,126,27,66,cotton,DAP
34,Sandy,161,21,49,cotton,DAP
22,Clay,181,62,149,cotton,NPK 14-14-14
22,Loamy,22,33,40,cotton,Urea
22,Sandy,170,96,31,cotton,MOP
32,Black,181,69,3,cotton,MOP
32,Black,88,75,31,cotton,MOP
32,Loamy,102,3,84,cotton,DAP
33,Sandy,118,55,9,cotton,MOP
22,Sandy,117,25,44,cotton,DAP
32,Clay,125,43,173,cotton,NPK 14-14-14
21,Clay,92,58,101,cotton,NPK 14-14-14
35,Loamy,31,21,83,cotton,Urea
27,Loamy,99,32,42,cotton,MOP
22,Clay,192,0,15,cotton,DAP
20,Clay,31,82,9,cotton,Urea
22,Loamy,120,97,153,cotton,NPK 14-14-14
31,Black,102,31,4,cotton,MOP
32,Loamy,77,71,135,cotton,Urea
25,Black,170,15,60,cotton,DAP
20,Clay,129,48,58,cotton,NPK 14-14-14
23,Loamy,87,74,171,cotton,NPK 14-14-14
20,Black,153,35,27,cotton,MOP
30,Clay,110,33,142,cotton,NPK 14-14-14
21,Black,97,4,29,cotton,DAP
23,Clay,177,9,179,cotton,DAP
21,Clay,175,92,185,cotton,NPK 14-14-14
31,Black,168,91,145,cotton,NPK 14-14-14
28,Clay,89,50,12,cotton,MOP
29,Clay,79,95,64,cotton,Urea
30,Black,30,64,36,cotton,Urea
25,Sandy,1,37,109,cotton,Urea
23,Clay,83,21,24,cotton,DAP
24,Clay,181,48,29,cotton,MOP
28,Black,174,98,67,cotton,NPK 14-14-14
35,Clay,181,91,139,cotton,NPK 14-14-14
34,Sandy,130,64,118,cotton,NPK 14-14-14
25,Loamy,86,50,152,cotton,NPK 14-14-14
25,Sandy,30,15,18,cotton,Urea
29,Sandy,169,56,29,cotton,MOP
32,Black,12,83,11,cotton,Urea
33,Black,93,68,139,cotton,NPK 14-14-14
28,Clay,141,5,9,cotton,DAP
29,Loamy,167,8,164,cotton,DAP
28,Black,193,87,87,cotton,NPK 14-14-14
28,Sandy,160,51,61,cotton,NPK 14-14-14
24,Sandy,185,2,58,cotton,DAP
25,Loamy,81,81,57,cotton,NPK 14-14-14
20,Sandy,98,75,108,cotton,NPK 14-14-14
33,Black,23,79,136,cotton,Urea
35,Black,87,78,125,cotton,NPK 14-14-14
35,Loamy,142,97,36,cotton,MOP
31,Clay,92,22,107,cotton,DAP
26,Black,179,23,110,cotton,DAP
30,Sandy,25,25,193,cotton,Urea
35,Clay,145,4,31,cotton,DAP
20,Black,41,56,181,cotton,Urea
35,Sandy,141,4,46,cotton,DAP
34,Black,171,1,154,cotton,DAP
28,Sandy,157,80,70,cotton,NPK 14-14-14
23,Clay,32,16,26,cotton,Urea
30,Clay,83,37,173,cotton,NPK 14-14-14
35,Black,53,71,171,cotton,Urea
29,Sandy,187,16,126,cotton,DAP
33,Clay,197,38,150,cotton,NPK 14-14-14
20,Black,94,24,123,cotton,DAP
23,Black,158,24,125,cotton,DAP
30,Loamy,179,88,152,cotton,NPK 14-14-14
31,Black,86,46,93,cotton,NPK 14-14-14
32,Sandy,88,35,89,cotton,NPK 14-14-14
27,Black,144,23,5,cotton,DAP
20,Black,85,15,19,cotton,DAP
21,Sandy,101,17,152,cotton,DAP
28,Loamy,184,12,148,cotton,DAP
21,Loamy,197,57,67,cotton,NPK 14-14-14
30,Clay,92,43,13,cotton,MOP
29,Black,38,49,15,cotton,Urea
20,Sandy,136,69,95,cotton,NPK 14-14-14
34,Loamy,197,65,112,cotton,NPK 14-14-14
21,Sandy,190,16,75,cotton,DAP
33,Loamy,123,55,180,cotton,NPK 14-14-14
26,Black,163,13,75,cotton,DAP
23,Black,141,6,167,cotton,DAP
28,Sandy,86,0,69,cotton,DAP
22,Black,102,68,120,cotton,NPK 14-14-14
21,Black,154,68,8,cotton,MOP
34,Black,161,67,199,cotton,NPK 14-14-14
32,Black,141,85,124,cotton,NPK 14-14-14
27,Black,157,49,156,cotton,NPK 14-14-14
27,Sandy,136,51,10,cotton,MOP
23,Sandy,101,13,89,cotton,DAP
33,Black,164,3,44,cotton,DAP
21,Loamy,95,85,150,cotton,NPK 14-14-14
24,Sandy,159,43,54,cotton,NPK 14-14-14
25,Sandy,135,37,183,cotton,NPK 14-14-14
23,Loamy,190,19,135,cotton,DAP
25,Clay,118,92,34,cotton,MOP
31,Sandy,168,17,120,cotton,DAP
31,Sandy,96,96,165,cotton,NPK 14-14-14
20,Loamy,152,46,116,cotton,NPK 14-14-14
32,Loamy,108,49,35,cotton,MOP
22,Black,168,88,51,cotton,NPK 14-14-14
26,Clay,182,4,75,cotton,DAP
21,Loamy,182,34,161,cotton,NPK 14-14-14
25,Loamy,145,77,168,cotton,NPK 14-14-14
30,Clay,133,69,160,cotton,NPK 14-14-14
26,Clay,67,39,147,cotton,Urea
22,Black,150,29,118,cotton,DAP
